iter	Passed	Remaining
0	152	152057
1	154	76868
2	155	51821
3	157	39106
4	158	31495
5	159	26404
6	160	22778
7	161	20041
8	162	17903
9	163	16200
10	164	14802
11	165	13639
12	166	12651
13	167	11802
14	168	11072
15	169	10430
16	170	9863
17	171	9379
18	173	8934
19	174	8529
20	175	8161
21	176	7841
22	177	7538
23	178	7258
24	179	7006
25	180	6769
26	181	6552
27	182	6348
28	183	6157
29	184	5979
30	186	5820
31	187	5669
32	188	5523
33	189	5384
34	190	5253
35	191	5130
36	192	5016
37	193	4907
38	194	4802
39	195	4701
40	196	4606
41	197	4514
42	199	4429
43	200	4349
44	201	4286
45	203	4214
46	204	4141
47	205	4071
48	206	4005
49	207	3944
50	208	3885
51	209	3825
52	210	3767
53	211	3713
54	213	3662
55	215	3631
56	216	3583
57	217	3535
58	218	3491
59	220	3449
60	221	3411
61	222	3367
62	223	3326
63	224	3285
64	225	3248
65	226	3210
66	227	3173
67	229	3151
68	231	3121
69	232	3087
70	233	3053
71	234	3021
72	235	2989
73	236	2959
74	237	2929
75	238	2901
76	239	2874
77	240	2847
78	242	2821
79	243	2795
80	246	2794
81	247	2770
82	248	2741
83	249	2716
84	250	2693
85	251	2670
86	252	2650
87	253	2630
88	254	2608
89	256	2588
90	257	2569
91	258	2553
92	260	2544
93	262	2525
94	263	2508
95	264	2491
96	265	2473
97	266	2456
98	268	2440
99	269	2425
100	270	2409
101	272	2394
102	273	2382
103	275	2376
104	277	2361
105	278	2345
106	279	2330
107	280	2315
108	281	2300
109	282	2285
110	283	2270
111	284	2256
112	285	2242
113	286	2229
114	287	2216
115	291	2220
116	292	2206
117	293	2193
118	294	2181
119	295	2168
120	296	2155
121	297	2141
122	298	2129
123	299	2118
124	300	2106
125	302	2097
126	303	2084
127	305	2077
128	306	2069
129	308	2061
130	309	2050
131	310	2042
132	311	2031
133	312	2022
134	314	2012
135	315	2002
136	316	1993
137	317	1983
138	318	1975
139	320	1970
140	321	1961
141	322	1949
142	323	1939
143	324	1930
144	325	1921
145	327	1913
146	328	1905
147	329	1896
148	330	1888
149	331	1880
150	333	1872
151	336	1877
152	337	1870
153	339	1863
154	340	1857
155	342	1853
156	343	1846
157	345	1841
158	347	1835
159	348	1828
160	351	1829
161	352	1824
162	353	1817
163	355	1810
164	356	1803
165	357	1795
166	358	1788
167	360	1783
168	361	1776
169	362	1770
170	366	1775
171	367	1769
172	368	1762
173	370	1756
174	371	1750
175	372	1744
176	374	1739
177	375	1733
178	376	1726
179	377	1720
180	388	1756
181	390	1755
182	391	1749
183	394	1750
184	398	1756
185	399	1750
186	401	1743
187	402	1737
188	403	1730
189	404	1724
190	405	1717
191	406	1710
192	407	1704
193	408	1697
194	409	1691
195	411	1687
196	413	1683
197	414	1677
198	415	1671
199	416	1665
200	417	1660
201	418	1654
202	419	1648
203	420	1642
204	422	1637
205	423	1631
206	424	1625
207	425	1621
208	428	1623
209	429	1617
210	431	1611
211	432	1606
212	433	1601
213	434	1595
214	435	1589
215	436	1584
216	437	1578
217	438	1573
218	439	1568
219	442	1569
220	443	1564
221	444	1559
222	446	1554
223	447	1549
224	448	1544
225	449	1539
226	450	1534
227	451	1529
228	452	1523
229	453	1518
230	454	1514
231	457	1513
232	458	1509
233	459	1504
234	460	1500
235	462	1495
236	463	1491
237	464	1486
238	465	1481
239	466	1477
240	467	1472
241	468	1468
242	469	1463
243	472	1463
244	473	1459
245	474	1455
246	476	1451
247	477	1447
248	478	1443
249	479	1438
250	480	1434
251	481	1430
252	482	1425
253	483	1421
254	484	1416
255	488	1420
256	490	1417
257	492	1414
258	493	1411
259	494	1407
260	495	1403
261	496	1399
262	497	1395
263	499	1391
264	503	1395
265	504	1392
266	506	1390
267	507	1386
268	508	1382
269	509	1378
270	510	1374
271	511	1370
272	513	1366
273	514	1362
274	516	1361
275	518	1360
276	519	1356
277	520	1352
278	522	1349
279	523	1345
280	524	1342
281	525	1338
282	526	1334
283	528	1331
284	530	1331
285	532	1330
286	534	1326
287	535	1323
288	536	1319
289	537	1315
290	538	1312
291	540	1309
292	541	1306
293	542	1303
294	543	1299
295	545	1297
296	546	1294
297	548	1291
298	549	1288
299	550	1285
300	552	1281
301	553	1278
302	554	1275
303	555	1271
304	556	1268
305	557	1265
306	559	1262
307	561	1261
308	562	1258
309	563	1254
310	564	1251
311	565	1248
312	567	1244
313	568	1241
314	569	1237
315	570	1234
316	571	1231
317	572	1227
318	573	1224
319	576	1225
320	577	1222
321	579	1219
322	580	1216
323	581	1213
324	582	1210
325	583	1207
326	585	1204
327	586	1201
328	587	1198
329	589	1195
330	590	1194
331	592	1191
332	593	1188
333	594	1185
334	595	1183
335	597	1180
336	598	1177
337	599	1174
338	600	1171
339	601	1167
340	602	1164
341	603	1161
342	606	1160
343	607	1158
344	608	1155
345	609	1152
346	610	1149
347	611	1145
348	612	1142
349	613	1139
350	614	1136
351	615	1133
352	617	1131
353	618	1128
354	619	1125
355	621	1123
356	622	1121
357	623	1118
358	624	1115
359	625	1112
360	627	1109
361	628	1107
362	629	1104
363	630	1101
364	631	1099
365	632	1096
366	633	1093
367	636	1093
368	637	1090
369	639	1088
370	640	1085
371	641	1083
372	642	1080
373	643	1077
374	644	1074
375	646	1072
376	647	1069
377	648	1067
378	649	1065
379	651	1062
380	652	1059
381	653	1057
382	654	1054
383	655	1052
384	656	1049
385	657	1046
386	658	1043
387	659	1040
388	660	1037
389	661	1035
390	663	1032
391	664	1030
392	665	1027
393	667	1026
394	668	1023
395	669	1020
396	670	1018
397	671	1015
398	672	1012
399	673	1010
400	674	1007
401	675	1005
402	676	1002
403	677	999
404	678	997
405	680	995
406	682	994
407	683	991
408	684	989
409	685	986
410	686	984
411	688	982
412	689	979
413	690	976
414	691	974
415	692	971
416	693	969
417	694	966
418	696	965
419	697	963
420	698	961
421	699	958
422	700	956
423	702	954
424	703	951
425	704	949
426	705	947
