iter	Passed	Remaining
0	2	229
1	4	213
2	6	198
3	7	171
4	8	158
5	9	147
6	10	136
7	11	130
8	12	127
9	13	123
10	14	121
11	16	117
12	17	115
13	18	112
14	19	109
15	20	105
16	21	102
17	22	100
18	23	98
19	23	95
20	24	93
21	25	91
22	26	89
23	27	87
24	28	85
25	29	84
26	30	82
27	31	80
28	32	78
29	33	77
30	34	75
31	34	74
32	35	72
33	36	70
34	37	68
35	37	67
36	38	65
37	39	64
38	40	62
39	40	61
40	42	60
41	42	58
42	43	57
43	44	56
44	45	55
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	49	47
51	50	46
52	51	45
53	52	44
54	52	43
55	53	42
56	54	40
57	55	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	33
64	61	32
65	61	31
66	62	30
67	63	29
68	64	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	23
74	68	22
75	69	21
76	70	21
77	71	20
78	71	19
79	72	18
80	73	17
81	74	16
82	75	15
83	75	14
84	76	13
85	77	12
86	77	11
87	78	10
88	79	9
89	80	8
90	80	8
91	81	7
92	82	6
93	83	5
94	83	4
95	84	3
96	85	2
97	85	1
98	86	0
99	87	0
